-14,-38,38,-38,29,2,17,-19,-31,11
-58,23,-61,-66,-14,52,7,40,15,-18
-43,38,27,48,10,-101,-55,21,-27,-14
-25,-11,-19,-8,2,-29,-49,6,-1,22
21,-22,42,-3,24,-19,-1,-1,-1,-45
16,6,30,-31,-17,-71,19,27,28,5
5,-16,23,-3,33,-21,2,25,-75,3
-35,41,36,23,31,-5,-69,9,-44,-34
-22,-18,20,8,9,-8,21,-17,-14,20
19,-12,-4,25,-39,-3,-22,20,21,8
20,-3,-12,-44,17,13,19,-5,-17,21
-40,26,21,-2,-56,1,21,46,-14,-59
10,31,40,-55,2,-44,-21,25,-31,-30
25,-28,1,0,-20,-20,-53,25,20,29
-57,22,51,-21,-35,-56,-10,26,-29,-26
11,14,0,2,19,-31,4,-28,-1,-15
4,-77,-37,-21,26,13,7,-31,31,1
-19,7,-14,-13,15,32,38,-35,27,26
-31,53,-45,41,1,49,-68,-60,-61,40
-15,-55,3,-36,18,-3,15,20,-18,18
-16,-10,-20,44,-39,32,-46,-15,-82,31
-26,2,-14,19,-29,-5,-28,15,23,2
-16,-17,-53,1,-58,56,42,19,-23,-21
9,-75,-56,40,9,-5,-18,-35,3,43
10,-9,23,-23,-6,-41,-16,15,-28,27
-16,-35,7,-5,-23,-26,12,7,0,-8
19,32,-15,-14,-22,-14,-55,36,-27,11
11,-32,-7,-3,23,-14,14,21,16,-3
0,-40,20,-2,-114,57,-61,47,-13,-2
-20,10,32,9,-28,34,17,-19,16,-68
22,11,13,-54,0,-78,-25,-25,-1,-7
20,-33,-3,-35,26,49,42,-56,24,-51
15,2,-86,11,18,26,30,0,-4,9
27,-21,-27,24,19,-13,-19,17,12,20
3,31,-39,-12,-12,-1,44,-6,11,-24
-14,55,-7,20,47,19,-3,27,-17,-42
-6,-4,-20,-25,-1,20,-37,-29,13,-1
-43,3,1,28,25,-48,10,10,-16,-54
11,5,-67,43,-20,26,-7,-1,-34,-1
-30,-25,-13,-60,33,21,24,6,19,0
41,-18,13,-37,31,16,3,39,-86,-19
-58,13,-31,5,23,14,-64,30,-23,4
25,-44,30,34,-52,-1,4,37,-35,13
-41,-12,13,-6,26,-17,6,-29,15,-14
-62,18,-34,0,29,22,-62,16,22,-5
-10,8,21,-8,-30,-18,-17,-24,3,20
26,-35,30,-34,19,4,-38,25,-23,5
23,-53,6,-1,-66,22,20,-41,12,41
-58,-40,-11,5,24,-16,-64,7,20,2
-16,29,13,-3,-44,-31,-13,12,16,-38
-21,5,-16,24,-22,1,-20,-15,23,-11
-69,27,8,-7,8,27,13,-52,12,2
-38,-13,13,20,9,-62,31,25,3,28
-16,-16,-14,-50,14,17,23,-2,47,8
-35,42,-5,-67,20,-17,-34,-9,-20,11
8,-22,-13,-3,-10,10,27,-51,21,24
24,24,5,-71,59,-51,-3,49,-10,-38
-18,8,13,9,-37,37,-41,9,-13,-44
18,-39,-21,7,-31,16,8,-16,24,0
-46,-17,-20,30,-67,27,-53,-59,3,-6
-2,58,-65,15,76,-63,28,-1,-58,-26
-10,-27,-40,-11,17,-35,-35,40,-9,-13
21,6,-34,-42,19,-36,32,-3,7,3
25,-30,-7,25,-30,-8,-3,-1,-3,25
6,-39,-25,-6,-2,28,-14,4,24,23
31,-33,33,9,0,19,-27,-4,3,13
-7,6,-72,4,28,56,-15,-15,9,-33
2,-14,18,-5,9,14,-20,-37,25,-20
-36,4,16,-27,-11,5,-6,11,26,-55
16,12,-59,-29,-3,19,-40,32,-18,-31
14,8,20,24,-11,-3,25,-35,11,6
16,29,-34,-2,-60,-37,28,22,-8,8
-16,-3,22,-23,10,-11,30,-44,25,1
-24,-2,19,32,-48,-34,-36,-30,21,16
5,-21,18,-23,5,-29,-36,14,32,-2
9,-32,34,-15,-18,2,-11,-38,6,7
-54,10,9,15,3,24,-35,-72,20,27
-51,15,-13,-52,23,-22,-48,-21,14,1
5,-35,-69,-60,11,33,38,37,3,37
-11,-33,42,1,-40,45,35,-19,-28,-82
23,-19,17,-5,2,-23,-7,-29,18,-17
16,25,10,-3,-17,-43,-21,12,-49,42
23,16,16,-29,-28,15,33,-64,-20,-6
26,43,5,-14,-70,9,0,10,-47,-21
11,29,-14,-51,-39,11,15,-13,-15,26
-29,33,37,-1,14,-59,-62,-12,16,26
-4,26,34,5,56,13,18,-34,-18,-65
-40,28,26,16,-14,-31,-29,51,-46,-103
21,-32,-19,19,21,23,26,-31,1,-30
-6,-22,29,5,6,3,25,9,-30,-25
-25,33,-11,-38,-16,31,-11,4,-34,61
-54,-61,-17,39,-10,31,-73,-2,-23,21
12,22,-9,-24,-44,8,5,9,1,-56
16,-3,23,30,-88,-26,-19,33,-18,-12
-21,-19,19,26,19,-33,28,52,20,-65
-15,-23,-10,25,-17,-2,7,-16,13,20
1,-2,41,14,-63,29,9,14,-22,-50
24,35,-4,-19,29,5,28,-26,-69,20
-25,0,0,24,25,-2,-40,-38,29,-22
-37,-34,-7,56,0,-38,30,-27,-55,29
