9,-13,7,-3,8,-4,-10,-11,4,0
6,-3,5,-8,3,-13,8,-9,10,3
-12,2,13,6,-6,8,-11,1,-11,-11
8,-9,12,5,9,-8,3,-3,-6,-4
0,-12,8,-2,1,-10,5,10,-13,6
-11,9,-2,2,6,-12,5,-9,3,-2
6,2,4,5,-15,8,2,-13,5,-13
-6,-11,-4,4,11,0,-11,11,-8,9
2,12,1,-10,5,10,10,-3,-12,-4
-17,5,6,0,3,7,-13,4,2,3
-9,9,6,-1,8,3,4,-8,0,-17
-15,8,10,-10,-11,-15,7,5,8,3
-10,8,-13,3,-5,-9,-10,10,-11,12
-12,-5,-6,-10,11,11,-8,3,5,-2
-10,-7,-13,-1,5,8,9,4,7,0
-7,-8,-4,-5,11,1,13,-1,-11,-2
5,-3,4,8,-9,12,-6,9,-10,-9
-4,8,7,5,-16,7,-9,2,5,-3
9,-4,-11,2,-7,6,-12,-9,3,11
6,-9,0,6,-18,-1,11,-13,10,-3
-8,4,-7,11,6,-9,-7,10,3,-7
9,-15,-8,-14,-1,7,11,0,2,6
-15,2,-11,6,5,-1,-15,-9,8,9
11,8,-7,-14,0,-2,-12,7,-6,6
10,2,4,7,-7,-6,0,12,-12,-10
6,-13,-9,4,-2,5,-11,5,7,-8
-1,-10,4,-9,-3,10,2,-7,-5,5
-8,12,-16,9,-4,7,7,-14,-13,11
-2,-12,5,7,-6,-12,2,6,0,11
6,11,7,-11,-11,-1,-5,9,6,-6
